Comprende los objetivos del equipo y los objetivos de la empresa.,Ve cómo la contribución personal impacta el negocio.,Toma medidas basadas en la comprensión de las necesidades del cliente y del consumidor.,Pregunta activamente para aprender sobre el negocio para tomar decisiones apropiadas,Comprende el impacto de nuestras operaciones en la comunidad.,Participa en actividades dentro de la comunidad.,Asume la responsabilidad de sus propias acciones y consecuencias.,Muestra congruencia en palabras y acciones.,Vive los valores y principios de Nestlé.,Actúa teniendo en cuenta la reputación y el mejor interés de la organización.,Interactúa con integridad y honestidad.,Admite errores.,Logra resultados en el cumplimiento de los Principios empresariales corporativos de Nestlé.,Muestra un impulso para alcanzar objetivos ambiciosos de desempeño y estándares de calidad.,Planea y prioriza el trabajo de manera efectiva.,Aprovecha cada oportunidad para hacer más de lo esperado.,No duda en actuar.,Persigue objetivos con energía y conduce hasta su finalización.,Asume la responsabilidad de entregar los resultados esperados (qué y cómo).,Busca activamente comentarios de otros.,Crea y ejecuta planes de desarrollo personal.,Aprovecha todas las oportunidades para aprender y crecer.,Aprende de los éxitos y errores.,Tiene recursos para perseguir objetivos de aprendizaje.,"Tiene una gran autoconciencia personal: fortalezas, debilidades, oportunidades y límites.",Obtiene la confianza y el apoyo de los demás.,Está preparado para hacer compromisos para lograr los objetivos del grupo.,"Contribuye activamente con ideas, energía y el deseo de tener éxito como equipo.",Influye sin autoridad.,Se interesa y escucha atentamente las ideas de los demás.,Funciona a través de desacuerdos sin dañar las relaciones.,Anticipa problemas futuros y trabaja para minimizarlos o prevenirlos.,"Afronta nuevos problemas, abre nuevos caminos y desarrolla planes de contingencia.",Inicia y contribuye a la innovación y la mejora continua.,Es de mente abierta hacia nuevas y diferentes formas de hacer las cosas.,Desafía constructivamente el por qué y pregunta por qué no.,Actúa de manera decisiva y proactiva.,Comprende los objetivos del equipo y los objetivos de la empresa._AUTOEVALUCIÓN,Ve cómo la contribución personal impacta el negocio._AUTOEVALUCIÓN,Toma medidas basadas en la comprensión de las necesidades del cliente y del consumidor._AUTOEVALUCIÓN,Pregunta activamente para aprender sobre el negocio para tomar decisiones apropiadas_AUTOEVALUCIÓN,Comprende el impacto de nuestras operaciones en la comunidad._AUTOEVALUCIÓN,Participa en actividades dentro de la comunidad._AUTOEVALUCIÓN,Asume la responsabilidad de sus propias acciones y consecuencias._AUTOEVALUCIÓN,Muestra congruencia en palabras y acciones._AUTOEVALUCIÓN,Vive los valores y principios de Nestlé._AUTOEVALUCIÓN,Actúa teniendo en cuenta la reputación y el mejor interés de la organización._AUTOEVALUCIÓN,Interactúa con integridad y honestidad._AUTOEVALUCIÓN,Admite errores._AUTOEVALUCIÓN,Logra resultados en el cumplimiento de los Principios empresariales corporativos de Nestlé._AUTOEVALUCIÓN,Muestra un impulso para alcanzar objetivos ambiciosos de desempeño y estándares de calidad._AUTOEVALUCIÓN,Planea y prioriza el trabajo de manera efectiva._AUTOEVALUCIÓN,Aprovecha cada oportunidad para hacer más de lo esperado._AUTOEVALUCIÓN,No duda en actuar._AUTOEVALUCIÓN,Persigue objetivos con energía y conduce hasta su finalización._AUTOEVALUCIÓN,Asume la responsabilidad de entregar los resultados esperados (qué y cómo)._AUTOEVALUCIÓN,Busca activamente comentarios de otros._AUTOEVALUCIÓN,Crea y ejecuta planes de desarrollo personal._AUTOEVALUCIÓN,Aprovecha todas las oportunidades para aprender y crecer._AUTOEVALUCIÓN,Aprende de los éxitos y errores._AUTOEVALUCIÓN,Tiene recursos para perseguir objetivos de aprendizaje._AUTOEVALUCIÓN,"Tiene una gran autoconciencia personal: fortalezas, debilidades, oportunidades y límites._AUTOEVALUCIÓN",Obtiene la confianza y el apoyo de los demás._AUTOEVALUCIÓN,Está preparado para hacer compromisos para lograr los objetivos del grupo._AUTOEVALUCIÓN,"Contribuye activamente con ideas, energía y el deseo de tener éxito como equipo._AUTOEVALUCIÓN",Influye sin autoridad._AUTOEVALUCIÓN,Se interesa y escucha atentamente las ideas de los demás._AUTOEVALUCIÓN,Funciona a través de desacuerdos sin dañar las relaciones._AUTOEVALUCIÓN,Anticipa problemas futuros y trabaja para minimizarlos o prevenirlos._AUTOEVALUCIÓN,"Afronta nuevos problemas, abre nuevos caminos y desarrolla planes de contingencia._AUTOEVALUCIÓN",Inicia y contribuye a la innovación y la mejora continua._AUTOEVALUCIÓN,Es de mente abierta hacia nuevas y diferentes formas de hacer las cosas._AUTOEVALUCIÓN,Desafía constructivamente el por qué y pregunta por qué no._AUTOEVALUCIÓN,Actúa de manera decisiva y proactiva._AUTOEVALUCIÓN,Global Pay Grade,Function,Position,Technical Entry Date (date format),Age
4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,2,4,4,4,3,4,4,3,3,4,4,4,4,4,4,2,2,3,4,3,3,4,4,4,3,4,2,4,4,4,4,4,4,3,3,3,4,4,3,3,2,3,4,3,4,2,4,4,2,3,3,3,4,3,2,3,4,3,L,Marketing & Sales,Vendedor OOH y FS,10650,45-49
1,1,3,2,1,3,2,3,1,1,1,2,1,1,2,2,2,1,1,3,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,2,3,4,4,3,3,4,2,4,4,4,4,4,4,4,3,2,3,3,3,2,3,2,3,3,3,3,3,4,3,2,3,3,3,3,2,2,2,2,J,Marketing & Sales,Especialista Cuentas Clave,9506,45-49
4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,4,3,4,2,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,3,4,3,3,3,K,Operations,Analista Proceso Almacén,9250,50-54
4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,L,Operations,Tecnico Supervisor de Turno,11480,45-49
4,3,3,4,4,3,4,3,4,4,3,3,3,3,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,I,Operations,Coordinador MANTO Electrico,10109,45-49
3,3,3,2,4,3,2,3,4,4,4,2,3,2,3,3,3,2,2,3,2,3,3,3,2,2,3,3,2,3,2,3,3,2,3,2,2,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,J,Marketing & Sales,Asesor Nutricional SR,9128,50-54
4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,4,3,3,2,4,3,4,J,Human Resources,Asistente Ejecutiva VP,8914,45-49
4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,3,4,3,3,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,3,3,4,3,3,J,Marketing & Sales,Especialista Distribuidores,8885,40-44
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,J,General Management,Asistente Ejecutiva VP,15025,60-64
4,4,3,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,4,2,4,3,4,4,4,4,3,3,4,4,4,3,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,J,Marketing & Sales,Asesor Nutricional SR,8564,45-49
4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,2,2,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,2,3,4,3,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,4,4,3,3,4,4,3,3,3,3,3,3,J,Operations,Asistente Ejecutiva VP,8414,40-44
4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,I,Marketing & Sales,Coordinador Cuentas Clave,8396,50-54
4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,K,Marketing & Sales,Supervisor Sales Analyst,8079,55-59
4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,2,2,2,3,3,2,3,4,3,3,3,4,4,3,3,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,J,Operations,Customer Service Specialist,8049,50-54
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,L,Operations,Tecnico Supervisor de Turno,7986,35-39
3,3,3,2,3,2,3,3,3,4,4,3,3,4,2,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,4,3,4,3,4,4,4,3,4,3,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,H,Marketing & Sales,Jefe Cuentas Clave,7611,45-49
4,2,2,2,4,2,4,4,4,4,4,4,4,3,4,4,3,3,4,2,2,2,4,3,4,4,2,1,3,4,4,4,2,2,3,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,4,4,1,4,3,3,4,4,4,K,Marketing & Sales,Asistente Ejecutiva,7591,55-59
4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,3,4,4,3,3,2,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,4,3,4,3,4,4,4,4,4,4,3,4,3,3,I,Operations,Coordinador Administrativo Agropecuario,9285,50-54
4,4,4,3,4,2,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,3,3,4,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,4,3,4,I,Operations,Coordinador Automatizacion y Control,10958,45-49
4,4,3,3,4,3,4,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,3,4,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,4,3,3,3,3,3,3,3,4,3,3,3,J,Operations,Especialista Mantenimiento y Reparacion,11399,55-59
2,3,2,1,3,3,3,2,3,3,4,3,3,2,2,1,3,2,2,2,3,3,3,3,2,3,2,1,3,3,3,2,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,J,Marketing & Sales,Asistente Ejecutiva VP,11294,55-59
2,3,2,2,3,3,3,3,3,3,4,4,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,K,Operations,Transport Execution Analyst T6,9571,50-54
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,3,4,2,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,L,Operations,Settlement Technical,10481,45-49
3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,L,Operations,Settlement Technical,10642,50-54
4,3,4,3,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,4,3,4,3,4,4,3,3,4,3,4,3,3,3,4,3,4,4,4,4,3,3,3,3,4,3,4,3,3,3,3,4,3,2,3,3,3,4,2,3,3,3,3,2,3,I,Operations,Coordinador Process Optimization,10482,50-54
3,3,3,2,3,2,3,2,3,3,4,3,3,2,2,3,3,3,4,3,2,2,3,3,3,3,3,2,3,3,4,2,3,2,3,3,3,3,4,3,3,4,3,4,3,4,4,4,4,3,3,3,4,4,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,2,3,4,3,3,M,Operations,Asistente Mesa de Control,9995,50-54
4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,3,4,4,3,3,4,3,3,4,4,3,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,3,3,4,4,4,L,Operations,Tecnico Cajero,8716,45-49
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,I,General Services,Coordinador Agencia de Viajes y Eventos,8396,40-44
4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,3,4,3,3,4,4,4,L,Operations,Tecnico Supervisor de Turno,8151,45-49
3,3,3,3,4,2,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,I,Finance & Control,Coordinador Costos,10573,50-54
4,3,3,3,4,3,4,3,3,3,3,4,4,4,3,4,2,4,3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,4,J,General Services,Especialista Tienda de Empleados,11109,50-54
4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,4,3,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,J,Operations,Especialista Logistica Corporativa,10923,45-49
4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,I,Marketing & Sales,Coordinador Incentivos y Analisis Ventas,10412,45-49
3,3,3,3,4,3,4,3,4,3,4,4,4,3,3,3,3,2,2,3,4,4,3,4,4,4,3,3,3,4,3,3,3,3,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,3,3,4,4,4,3,4,3,4,3,4,4,3,4,3,3,3,3,J,Operations,Especialista Instrumentacion y Control,10158,50-54
3,4,4,3,4,3,4,4,4,3,4,4,3,3,4,3,3,4,4,3,3,4,4,4,3,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,K,Operations,Asistente Ejecutiva,8155,55-59
3,4,4,2,4,3,4,3,4,4,4,3,2,2,2,2,2,3,3,3,3,3,4,3,4,4,3,4,4,4,4,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,4,3,3,4,4,3,4,4,3,3,4,3,4,4,4,3,3,4,4,4,4,3,I,Operations,Coordinador Proyectos Ingenieria,12350,55-59
4,4,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,3,4,3,3,4,4,4,3,4,4,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,J,Operations,Especialista Envase y Embalaje,13064,60-64
3,3,3,2,4,2,4,3,3,3,3,4,4,2,3,2,3,4,2,4,2,3,3,3,4,2,3,4,2,3,3,3,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,J,Operations,Especialista Fabricacion,10484,45-49
3,3,3,3,3,2,3,2,2,3,3,3,2,3,2,2,3,2,3,2,2,3,3,2,2,2,3,3,2,3,2,3,3,2,3,2,3,4,3,4,3,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,2,3,3,4,3,4,3,3,2,3,3,3,3,2,3,2,4,3,J,Research & Development,Especialista Laboratorio Microbiologia,9828,50-54
4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,4,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,3,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,I,Operations,Coordinador Planeacion Produccion,7824,40-44
